,id,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend
2094,6752375698511514885,2019-10-27 07:06:32,519.9913978125,13,,1800000,31700,775600,26300,5700000,6387,179400.0,21200.0,288.0
2107,6757887801104010501,2019-11-11 03:36:11,599.2996549537,38,ROXANNE,2100000,69300,80,1,884,4,689600.0,92700.0,1740.0
2130,6755601706647620870,2019-11-04 23:44:57,557.4895828704,12,,514800,51800,38300,356,237200,456,253700.0,37400.0,368.0
2139,6759484277387300098,2019-11-15 10:51:20,911.2873795949,14,,76000,4336,135,1,1356,13,6655.0,845.0,1573.0
2177,6776186716643413253,2019-12-30 11:05:18,542.2336549537,14,Candy,1000000,147200,739,2,6696,8,15400.0,1061.0,1401.0
2190,6759022214244257026,2019-11-14 04:58:20,619.4048533102,15,,461100,14800,781,3,6732,13,8540.0,836.0,1003.0
2198,6762024385722240258,2019-11-22 07:08:17,911.9187868171,15,,2100000,91900,634,4,5078,32,1792.0,198.0,961.0
2244,6764106491986283520,2019-11-27 21:47:51,317.0794179282,15,I Will Survive,21400000,2700000,128800,359,922200,1542,91700.0,25936.0,853.0
2265,6802838710090992898,2020-03-11 06:48:38,505.0625724306,14,,9300000,451000,19000,344,196600,366,23700.0,2284.0,45.02
2305,6782770832503524610,2020-01-17 04:55:03,847.8428371875,9,Just Keep Goin',207100,12500,234,2,4109,4,6163.5,429.0,160.0
2310,6764500927413095685,2019-11-28 23:18:29,529.6831388889,11,TikTokin',2100000,124500,59800,2368,575700,389,206700.0,22500.0,1327.0
2347,6765850944363138305,2019-12-02 14:37:13,529.8364673843,12,,28300000,1600000,27300,116,456000,187,26550.0,2078.0,630.0
2367,6766520771297807621,2019-12-04 09:56:33,908.8909284606,9,,89100,7672,190,2,2381,5,272050.0,40200.0,605.0
2371,6765460512147803393,2019-12-01 13:22:08,902.8296972222,11,original sound - AMRUTHA CHOWDARY,138100000,4100000,4924,30,41700,58,37800.0,3165.0,949.0
2381,6759463722974006530,2019-11-15 09:31:35,617.1821576042,14,,3200000,131100,595,0,5492,18,4602.0,440.5,1013.0
2390,6765880068372712710,2019-12-02 16:30:14,901.9454244097,15,Lottery,26000,995,111,0,1421,0,10600.0,639.0,163.0
2510,6763233431074721030,2019-11-25 13:19:58,972.9412514352,13,,11100000,214400,17700,46,69600,68,73000.0,6913.0,203.0
2599,6780327727443479813,2020-01-10 14:54:31,487.0331157407,10,Woah,92600000,6600000,1931,25,56300,26,198100.0,20400.0,1539.0
2614,6798121497576688898,2020-02-27 13:43:27,887.3269677199,15,,74100,4141,144,1,1201,1,12500.0,1246.5,925.0
2615,6761025027451129089,2019-11-19 14:30:15,612.9756528125,15,,1200000,78200,6666,107,68900,115,69050.0,7127.0,178.0
2719,6794775382110342405,2020-02-18 13:18:48,789.1642252894,12,Ayy Macarena,558100,19800,823,6,16100,4,8393.0,547.0,89.0
2739,6767584915929189637,2019-12-07 06:46:08,525.1790536806,14,Fuck It up (feat. Yg),876000,28900,65900,1537,501700,594,713300.0,63850.0,185.0
2758,6767287442815864066,2019-12-06 11:31:34,898.3788799653,15,YAAD PIYA KI AANE LAGI 2,13000000,1300000,606500,7414,7800000,867,1330.5,137.0,1475.0
2792,6764430880531320070,2019-11-28 18:46:38,907.8033340509,10,Shake Dat (feat. Lil Jay),81600,16100,177,6,1673,4,14163.0,1268.5,710.0
2833,6817776021006241025,2020-04-20 12:53:01,460.0370650463,14,,74000,3444,3182,11,42300,26,645.0,64.0,143.0
2862,6800788984680238342,2020-03-05 18:14:39,475.9354952315,12,No Idea,1000000,147200,469,1,5834,8,10350.0,721.0,984.0
2863,6764147062721268736,2019-11-28 00:25:18,317.0888073264,15,Chinese New Year,108100000,5500000,46600,101,355300,124,90300.0,6592.0,844.0
2869,6768294390684241157,2019-12-09 04:39:06,477.0968258681,15,,4300000,225000,3035,38,27500,29,412750.0,51517.5,6.758113573081222e+180
